0	-4.250481	94.880854
1	-2.364052	250.447163
2	-1.659749	154.185752
3	-1.375619	68.845748
4	-0.560788	62.606550
5	0.052692	167.657500
6	0.578480	172.457859
7	0.846730	117.662018
8	1.162734	49.705673
9	1.366782	58.164855
10	1.685218	97.769781
11	1.167825	160.679748
12	1.709303	129.029311
13	2.135578	96.153830
14	2.143184	45.778789
15	1.287818	94.206318
16	1.308788	21.361256
17	0.707816	90.796219
18	0.828078	76.122212
19	1.124803	60.245808
20	1.073623	112.096387
21	1.678073	77.685164
22	2.022104	51.500856
23	1.966926	35.040316
24	2.308831	61.695510
25	2.805983	35.576251
26	3.188423	55.361001
27	3.956418	31.907309
28	3.732299	46.285857
29	2.617977	47.164585
30	2.500087	66.133290
31	2.737730	73.714479
32	2.770170	25.103776
33	3.144913	16.234530
34	2.455389	11.370008
35	2.294430	107.836818
36	2.357711	35.672436
37	1.412506	72.921070
38	1.691661	6.167191
39	2.039741	32.356168
40	2.550903	221.876366
41	2.715877	74.544007
42	2.850159	14.282410
43	3.162324	17.891777
44	3.134738	56.548257
45	3.487426	50.961417
46	3.430211	45.261440
47	3.434909	33.134974
48	2.870777	24.524255
49	3.017058	75.417376
50	3.335423	60.781455
51	3.304109	46.948925
52	3.231341	62.872796
53	3.538594	44.087167
54	4.110517	28.914722
55	3.476915	49.054575
56	2.944999	45.550405
57	3.776970	45.715318
58	3.960066	126.725908
59	4.332079	36.968239
60	4.076180	9.450696
61	3.917173	44.070630
62	4.130455	20.453844
63	3.603863	65.748567
64	3.852874	12.381973
65	3.287959	38.050842
66	3.614107	48.587771
67	4.026616	29.528467
68	4.107674	34.658102
69	3.355919	36.164420
70	4.157563	20.253131
71	2.735285	71.706501
72	2.570874	74.066552
73	3.504430	148.194999
74	3.770033	95.207697
75	3.639658	9.900540
76	3.720327	52.533390
77	4.383019	13.262917
78	3.807198	136.343437
79	3.823177	33.524962
80	3.702594	131.199518
81	3.827303	41.798139
82	3.741243	23.421278
83	3.280468	48.103724
84	3.324379	44.279577
85	3.961444	32.790672
86	4.721997	56.998504
87	4.563563	47.910198
88	4.663910	15.755359
89	4.405935	23.217943
90	5.046473	10.011739
91	5.455645	31.624377
92	4.704472	37.060496
93	4.561455	18.614630
94	4.308985	63.036831
95	4.359982	55.417604
96	4.575449	45.480322
97	3.889979	15.920140
98	3.814945	27.634683
99	4.591056	34.156088
100	5.108357	88.401291
101	5.323417	89.545159
102	5.279825	9.211844
103	4.538774	22.234849
104	4.231366	30.071369
105	4.270441	81.942164
106	4.548084	6.678559
107	4.380297	88.029737
108	3.804251	5.340346
109	3.467118	5.148030
110	4.197902	71.542045
111	4.661761	11.392870
112	4.611604	44.885333
113	4.532555	1.889985
114	5.219513	15.421408
115	4.775120	11.372655
116	5.540276	15.703336
117	5.081895	41.669981
118	4.908657	-0.087929
119	4.878441	35.720482
120	4.247659	3.384726
121	3.832165	44.775318
122	3.961829	82.273364
123	4.145083	1.174260
124	4.883466	4.699565
125	4.764726	10.873222
126	4.073506	18.001486
127	3.764854	40.100649
128	4.631137	19.276680
129	5.300709	92.815185
130	5.221614	22.981441
131	4.991908	18.330454
132	4.837941	57.721643
133	5.215631	29.014463
134	4.544104	22.115400
135	4.503594	28.284054
136	4.430163	68.258017
137	3.759477	101.946162
138	3.930468	10.672500
139	3.865533	13.379610
140	4.606505	61.618511
141	3.735985	22.522204
142	4.286531	14.108733
143	4.859432	51.085554
144	5.198394	50.615540
145	5.808868	7.317134
146	5.281518	57.119099
147	4.748789	25.100857
148	4.875828	102.492388
149	4.282606	54.809565
150	3.960728	79.428796
151	4.728716	31.636890
152	4.352744	19.164916
153	4.030671	22.370084
154	4.573651	31.750932
155	4.802866	7.310950
156	5.615105	31.305509
157	6.824651	44.516535
158	6.791759	21.923149
159	5.490593	30.666657
160	5.920784	4.071852
161	5.195711	44.963863
162	4.958741	14.488331
163	5.784375	14.070192
164	5.757632	50.664083
165	5.662902	14.014540
166	5.627419	22.655062
167	5.730861	21.802534
168	5.533915	19.333943
169	5.056797	93.583143
170	5.300253	18.143203
171	4.337320	19.689471
172	4.091744	39.070798
173	4.151161	36.601922
174	4.522197	51.548410
175	5.419446	29.889722
176	4.705369	9.210357
177	4.490657	27.885958
178	4.090120	55.446363
179	4.256313	22.204406
180	4.587517	59.348182
181	3.871167	37.936416
182	3.943261	44.871372
183	3.921565	33.225895
184	4.276627	14.356554
185	4.325762	88.872996
186	4.216685	34.698892
187	3.747673	43.629688
188	4.285243	101.659476
189	4.571183	43.951969
190	4.109102	88.809039
191	4.517226	34.807444
192	4.395617	14.149635
193	4.872921	111.628639
194	4.491976	101.344940
195	4.725425	16.314218
196	4.882509	17.111786
197	4.736361	54.098685
198	5.049521	17.512382
199	4.955749	3.717734
200	4.599705	31.497396
201	4.742437	32.070005
202	4.861915	30.251827
203	4.650654	21.818312
204	4.020829	9.734834
205	4.750174	2.868536
206	5.163001	2.136592
207	4.883762	65.828753
208	4.771574	23.384972
209	3.995344	33.723138
210	4.349217	69.202459
211	4.993342	30.201945
212	5.399837	4.061158
213	4.925172	58.293008
214	4.735094	20.985834
215	4.752447	35.774256
216	4.260449	19.493590
217	3.502564	33.219490
218	3.826519	11.727633
219	3.788812	35.787018
220	3.921606	102.150396
221	4.079024	23.009078
222	4.030921	19.031698
223	4.268855	10.992411
224	4.647894	40.377694
225	4.533574	36.885307
226	4.757692	7.674788
227	4.764964	26.363750
228	5.320927	109.744732
229	5.229121	112.373998
230	4.468833	62.717038
231	4.687222	8.465819
